id	ids	emo_1	conv_1	emo_2	conv_2	emo_3	conv_3	emo_4	conv_4	emo_5	conv_5
dagstuhl-10	0,1	0	0	"0
2"	"0
2"	"0
2"	"0
1
2"	"0
1"	"0
1"	"1. 0
2. 2"	"0
2"
dagstuhl-10	0,2	"0
1"	"0
1"	"0
1"	"0
1"	"0
2"	"0
1"	"0
1"	"0
1"	0	"0
2"
dagstuhl-10	1,3	"0
1
2"	"0
1"	"0
1"	0	"0
2"	"0
1"	0	"0
2"	"0
1
2"	"0
1
2"
dagstuhl-10	2,3	"0
1"	0	"1 (2)
2 (1)"	"0
1"	0	"0
2"	0	"0
1"	"0
2"	"0
2"
dagstuhl-102	0,2	"1. 0
2. 1"	"0
2"	"1. 1
2. 0"	0	"0
2"	"0
2"	0	0	0	"0
2"
dagstuhl-102	1,0	"Argument 1: 2
Argument 2"	0	0	0	"Argument 1: 2
Argument 2"	0	"1
2"	"Argument 1: 0
Argument 2"	"1. 2
2. 1"	"0
2"
dagstuhl-102	1,3	0	"0
2"	"0
2"	0	"Argument 1: 2
Argument 2"	"Argument 1:
2

Argument 2:"	"0
2"	"0
2"	"1. 2
2. 1"	"0
1"
dagstuhl-102	2,3	"0
1"	"0
1"	0	"0
2"	"0
2"	"0
1"	"0
1"	"0
1"	"0
1"	0
dagstuhl-103	0,2	"1. 1
2. 2"	0	"0
1"	"0
1"	0	0	0	0	0	0
dagstuhl-103	1,0	0	0	"1
2"	"Argument 1: 2
Argument 2"	0	"0
1"	"0
1"	"0
1"	0	0
dagstuhl-103	1,3	"Argument 1: 1
Argument 2"	"0
1"	0	"0
2"	0	"Argument 1:
0
Argument 2:"	0	0	"1. 0
2. 1"	"Argument 1:
0
Argument 2:"
dagstuhl-103	2,3	"0
1"	0	0	"0
2"	"0
2"	0	"0
2"	0	"0
2"	0
dagstuhl-110	0,1	"1. 1
2. 0"	"0
2"	0	"0
1"	"0
2"	0	"1. 0
2. 1"	"0
1"	0	0
dagstuhl-110	0,2	"0
1"	"0
2"	"0
2"	"Argument 1: 0
Argument 2"	"1. 0
2. 2"	"0
2"	0	"0
1"	"0
1
2"	"0
1
2"
dagstuhl-110	1,3	"0
2"	0	"0
2"	"0
1"	0	"0
1"	0	"0
2"	0	0
dagstuhl-110	2,3	"0
2"	"0
2"	"0
1"	"0
1
2"	0	"0
2"	"0
1"	0	"0
2"	"0
2"
dagstuhl-116	0,2	"0
1"	"0
1"	0	"0
1"	"1. 2
2. 0"	"0
2"	"0
2"	"Argument 1: 2
Argument 2"	"0
1"	"Argument 2
0"
dagstuhl-116	1,0	0	0	"1 (2)
0"	0	"0
1"	"0
1"	0	0	"1 (2)
2 (1)"	0
dagstuhl-116	1,3	"0
2"	"Argument 1: 2
Argument 2"	"0
1"	"0
1"	"0
2"	0	"1. 0
2. 2"	"0
1"	"0
2"	0
dagstuhl-116	2,3	0	"0
2"	"0
2"	0	"1. 0
2. 1"	0	"0
1"	"0
2"	0	0
dagstuhl-12	0,1	"0
1"	"0
1"	0	"0
1
2"	"0
1"	"Argument 1: 0
Argument 2"	0	"0
1"	"0
2"	"0
2"
dagstuhl-12	0,2	0	"0
2"	"0
2"	"0
1"	"0
1"	"0
2"	0	"0
1"	"0
2"	"0
1"
dagstuhl-12	1,3	0	"0
2"	0	"0
2"	"0
1"	"0
1"	"0
1"	"0
2"	"0
1"	"0
1"
dagstuhl-12	2,3	0	"0
1"	0	"0
1
2"	"1. 1
2. 0"	"0
2"	0	"0
2"	0	0
dagstuhl-14	0,2	0	0	"0
2"	"0
2"	0	"0
2"	"0
1
2"	"0
1
2"	"0
1
2"	"0
2"
dagstuhl-14	1,0	"0
2"	"0
1
2"	0	"0
2"	0	"0
1"	"0
2"	0	"1. 0
2. 2"	"0
1"
dagstuhl-14	1,3	"1. 0
2. 1"	"0
1
2"	"0
2"	"0
2"	"0
2"	"Argument 1: 0
Argument 2"	"0
1
2"	"0
2"	"0
1"	"0
2"
dagstuhl-14	2,3	0	"0
2"	0	"0
1
2"	"1. 2
2. 0"	"0
1"	"1. 0
2. 1"	0	0	"0
2"
dagstuhl-17	0,1	0	"0
1"	0	"0
2"	"0
1"	"0
1"	0	"Argument 1: 0
Argument 2"	"0
1"	"0
1"
dagstuhl-17	0,2	"1. 2
2. 1"	"0
1"	0	"0
2"	"0
1
2"	0	"0
2"	"0
1"	0	"0
2"
dagstuhl-17	1,3	"0
1"	"0
2"	0	"0
1"	0	"0
1
2"	"0
1"	"Argument 1: 0
Argument 2"	"0
1
2"	"0
2"
dagstuhl-17	2,3	"0
2"	0	"0
1"	0	0	"0
1"	0	"0
1"	"0
1"	"0
2"
dagstuhl-189	0,2	0	"0
1"	"0
2"	"0
1"	0	"0
1"	"0
1
2"	"0
1"	"0
2"	0
dagstuhl-189	1,0	"0
1"	"Argument 1: 1
Argument 2"	0	"0
1"	"0
1"	"0
1"	"Argument 1: 2
Argument 2"	"Argument 1: 1
Argument 2"	"Argument 1: 1
Argument 2"	"Argument 1: 0
Argument 2"
dagstuhl-189	1,3	"Argument 1: 0
Argument 2"	"0
2"	"Argument 1: 0
Argument 2"	"Argument 1: 0
Argument 2"	"Argument 1: 0
Argument 2"	"0
1
2"	"Argument 1: 0
Argument 2"	"Argument 1: 2
Argument 2"	"1. 0
2. 1"	"0
2"
dagstuhl-189	2,3	"0
2"	"Argument 1: 2
Argument 2"	"0
2"	"Argument 1:
0
Argument 2:"	"Argument 1: 2
Argument 2"	"Argument 1: 0
Argument 2"	0	"Argument 1: 2
Argument 2"	0	0
dagstuhl-193	0,2	0	"0
2"	"1. 0
2. 2"	0	0	0	"0
2"	"0
1"	0	"0
1
2"
dagstuhl-193	1,0	0	"Argument 1: 1
Argument 2"	"0
1"	"0
2"	"0
2"	"0
2"	"0
2"	"0
1"	"Argument 1: 0
Argument 2"	"0
1"
dagstuhl-193	1,3	"Argument 1: 1
Argument 2"	"Argument 1: 0
Argument 2"	"1. 0
2. 2"	"Argument 1: 0
Argument 2"	"Argument 1: 1
Argument 2"	"0
1"	"Argument 1: 0
Argument 2"	"0
1"	"Argument 1: 0
Argument 2"	"0
1"
dagstuhl-193	2,3	0	0	"Argument 1: 2
Argument 2"	"Argument 1: 2
Argument 2"	"0
1"	0	"0
1"	"Argument 1: 2
Argument 2"	"Argument 1: 2
Argument 2"	"0
2"
dagstuhl-195	0,1	"0
1"	"0
1"	0	"0
1"	"0
2"	"0
1"	0	"0
1"	"0
1
2"	"0
2"
dagstuhl-195	0,2	"0
1
2"	0	0	"0
1"	"0
2"	"0
1"	0	0	"0
2"	"0
1"
dagstuhl-195	1,3	"0
2"	"Argument 1: 0
Argument 2"	"Argument 1: 0
Argument 2"	"0
1"	0	"Argument 1: 0
Argument 2"	0	"0
2"	"Argument 1: 0
Argument 2"	"Argument 1: 0
Argument 2"
dagstuhl-195	2,3	0	"Argument 1: 1
Argument 2"	"Argument 1: 2
Argument 2"	"Argument 1: 0
Argument 2"	0	"0
2"	"0
1"	"0
1"	"0
1"	"0
1"
dagstuhl-197	0,1	"1 (1)
2"	0	"0
2"	0	"0
1"	"0
2"	"1. 0
2. 2"	"0
1"	"0
1
2"	0
dagstuhl-197	0,2	"0
2"	0	0	"0
1
2"	0	0	"1. 0
2. 2"	0	0	0
dagstuhl-197	1,3	0	0	0	"Argument 1:
0

Argument 2:"	"1. 1
2. 2"	0	"0
1"	0	"1 (1)
2 (2)"	"0
1"
dagstuhl-197	2,3	"0
2"	"0
2"	"1. 2
2. 0"	0	0	0	0	0	0	0
dagstuhl-198	0,1	"0
1"	"0
1"	0	"0
2"	"0
2"	"0
2"	0	"0
1"	"0
2"	0
dagstuhl-198	0,2	0	0	"1. 2
2. 1"	"0
1
2"	0	"0
1"	"0
1"	"0
1"	"0
2"	"0
1"
dagstuhl-198	1,3	"0
1"	"0
1"	"0
1"	"0
1"	0	"Argument 1: 0
Argument 2"	"Argument 1: 2
Argument 2"	"0
1"	"Argument 1: 2
Argument 2"	"0
1"
dagstuhl-198	2,3	0	0	"0
2"	"0
1"	"0
2"	0	"0
2"	"Argument 1: 0
Argument 2"	"0
2"	"0
2"
dagstuhl-202	0,2	0	"0
2"	"0
2"	"0
1"	0	0	0	"0
1"	0	0
dagstuhl-202	1,0	0	"0
1"	0	0	"0
2"	0	0	"0
1"	0	"0
2"
dagstuhl-202	1,3	"0
2"	"0
2"	"0
2"	0	0	"0
2"	"0
1"	"0
2"	"0
2"	"0
2"
dagstuhl-202	2,3	0	0	"1. 0
2. 1"	"0
1"	0	"0
2"	"0
2"	"0
2"	"0
2"	0
dagstuhl-203	0,1	0	"0
2"	"0
2"	0	"0
1
2"	"0
2"	"0
2"	"0
1"	"1. 0
2. 2"	0
dagstuhl-203	0,2	0	"0
2"	"0
2"	"0
2"	0	"0
1"	"0
1"	"0
1"	"1. 0
2. 1"	0
dagstuhl-203	1,3	0	"0
2"	"1. 2
2. 0"	0	"0
2"	"0
1"	"0
2"	"0
1"	0	"0
1"
dagstuhl-203	2,3	0	"0
1"	"0
1"	"0
1"	"0
2"	"0
1"	"1. 0
2. 1"	"0
2"	"0
2"	0
dagstuhl-204	0,1	"0
2"	"0
1"	0	"0
1"	0	"0
1"	"1. 2
2. 0"	"Argument 1: 0
Argument 2"	0	"0
1"
dagstuhl-204	0,2	0	0	0	"0
1"	0	"0
1"	0	"0
1"	0	"0
1"
dagstuhl-204	1,3	0	"0
1"	"1. 0
2. 2"	"0
1"	"0
2"	"0
2"	"0
2"	"0
1"	"1. 0
2. 1"	"0
1"
dagstuhl-204	2,3	"0
2"	0	0	"1. 1
2. 0"	"0
2"	"0
2"	0	0	"1. 2
2. 1"	"0
2"
dagstuhl-205	0,1	0	"0
2"	"0
1"	"Argument 1: 0
Argument 2"	"0
1"	"0
2"	0	"0
2"	"0
1"	"0
2"
dagstuhl-205	0,2	"1
2"	0	"0
2"	"0
2"	"0
1"	"0
1"	"0
2"	0	"Argument 1: 2
Argument 2"	"0
2"
dagstuhl-205	1,3	"0
2"	"0
2"	"0
2"	"0
1"	"1. 1
2. 0"	"0
1"	"0
2"	0	"0
2"	"0
1"
dagstuhl-205	2,3	0	"0
2"	0	"0
2"	"1. 1
2. 0"	"0
1"	0	"0
1"	"0
1"	"0
1"
dagstuhl-206	0,1	"1. 2
2. 1"	"0
2"	"1
2"	"0
2"	"0
1"	"0
2"	"Argument 1: 2
Argument 2"	"0
1"	"0
1"	"0
1"
dagstuhl-206	0,2	"0
1"	"0
2"	"0
1"	"0
1"	"0
1"	"0
1"	"0
2"	"Argument 1: 0
Argument 2"	"1: 1
2: 0"	"0
1"
dagstuhl-206	1,3	"0
1"	"0
2"	"0
2"	"0
1"	"0
2"	"0
1"	0	"Argument 1: 0
Argument 2"	0	0
dagstuhl-206	2,3	"0
2"	"0
1"	"0
1"	"0
2"	"0
2"	"0
2"	0	"0
1"	"0
1"	"0
2"
dagstuhl-216	0,1	"0
2"	"0
1"	"1. 0
2. 2"	0	0	"Argument 1: 0
Argument 2"	"0
2"	0	"1. 0
2. 2"	"0
1"
dagstuhl-216	0,2	"0
1"	"0
2"	"0
2"	"0
2"	0	"0
1"	0	"Argument 1: 2
Argument 2"	"1. 0
2. 1"	"Argument 1: 0
Argument 2"
dagstuhl-216	1,3	"1
2"	"0
1"	"0
1"	"0
2"	"0
2"	"0
2"	"0
1"	"0
2"	"0
1"	"0
2"
dagstuhl-216	2,3	"0
1"	"Argument 1: 1
Argument 2"	"1 (Argument 1)
2 (Argument"	"0
2"	"0
2"	"0
2"	"0
1"	"0
2"	"0
2"	"0
2"
dagstuhl-218	0,1	0	0	"1. 1
2. 0"	0	"1. 1
2. 0"	0	0	"0
2"	"0
2"	"0
2"
dagstuhl-218	0,2	0	0	"0
1
2"	"0
1"	"0
2"	"0
1"	"1 (Argument 1)
2 (Argument"	"0
1"	"0
1"	"0
1
2"
dagstuhl-218	1,3	"1. 0
2. 1"	"0
1"	"1: 0
2: 2"	"0
2"	0	"0
1"	"0
2"	"0
2"	"0
1"	"0
2"
dagstuhl-218	2,3	0	"0
2"	"1. 1
2. 0"	"0
1"	"0
2"	"0
1"	0	"0
2"	"1. 0
2. 2"	0
dagstuhl-221	0,1	0	"0
2"	"0
2"	0	0	0	"0
1"	"0
1"	"1. 0
2. 1"	"0
2"
dagstuhl-221	0,2	"0
1
2"	"0
1"	"1 (Argument 1)
2 (Argument"	"0
1"	"0
2"	0	"0
1
2"	"0
2"	"1. 0
2. 1"	"0
1
2"
dagstuhl-221	1,3	0	"0
2"	0	"0
1"	"0
2"	"0
2"	"0
2"	0	"0
2"	"0
1"
dagstuhl-221	2,3	0	0	"0
1"	"0
2"	0	0	0	0	"1. 0
2. 1"	"0
1"
dagstuhl-223	0,2	"1 (Argument 1)
2 (Argument"	"0
2"	"1. 0
2. 2"	0	"0
2"	"0
1"	"0
1"	0	"0
2"	"0
2"
dagstuhl-223	1,0	"0
2"	"Argument 1: 0
Argument 2"	"0
2"	"Argument 1: 0
Argument 2"	"0
1
2"	"Argument 1: 2
Argument 2"	"0
2"	"0
2"	"0
2"	"0
1"
dagstuhl-223	1,3	"0
1"	0	0	"0
1"	0	"Argument 1:
2

Argument 2:"	"Argument 1: 2
Argument 2"	"Argument 1: 2
Argument 2"	"0
1"	"Argument 1: 2
Argument 2"
dagstuhl-223	2,3	0	0	0	"0
1"	"0
1"	"0
2"	0	"0
2"	0	0
dagstuhl-224	0,2	0	0	"1
2"	0	"0
2"	0	"1. 0
2. 2"	"0
2"	"Argument 1: 2
Argument 2"	"0
2"
dagstuhl-224	1,0	"0
2"	0	"1. 0
2. 1"	"0
2"	"0
2"	"0
2"	"0
2"	"Argument 1: 0
Argument 2"	0	"0
1
2"
dagstuhl-224	1,3	"1 (2)
2 (1)"	"0
1"	"1. 0
2. 1"	"Argument 1: 0
Argument 2"	0	"Argument 1: 2
Argument 2"	"1 (Argument 1)
2 (Argument"	"0
2"	"0
1"	"0
1"
dagstuhl-224	2,3	"0
1
2"	"Argument 1:
0
Argument 2"	"0
2"	"0
2"	"0
2"	"0
2"	0	"0
1
2"	0	"0
2"
dagstuhl-225	0,1	"1. 0
2. 1"	0	0	"0
1"	"0
1
0"	"0
1"	0	0	0	"0
2"
dagstuhl-225	0,2	0	0	"1. 1
2. 0"	"0
1"	"1. 0
2. 1"	0	"1. 0
2. 1"	0	"1. 2
2. 0"	0
dagstuhl-225	1,3	0	"0
1"	"1. 0
2. 2"	"0
1
2"	"0
2"	"0
1"	0	"Argument 1: 0
Argument 2"	0	0
dagstuhl-225	2,3	"0
2"	"Argument 1: 2
Argument 2"	"0
2"	"0
1"	"0
2"	"0
1"	"0
1"	"0
1"	0	0
dagstuhl-226	0,1	"0
1"	"0
1"	"1. 0
2. 1"	"0
1"	"1. 0
2. 1"	0	"0
2"	"0
1"	"1. 0
2. 2"	"0
1"
dagstuhl-226	0,2	"1. 0
2. 2"	"Argument 1: 0
Argument 2"	"1. 0
2. 2"	0	"1. 0
2. 2"	"1. 1
2. 0"	0	"Argument 1: 0
Argument 2"	"1. 0
2. 1"	"Argument 1: 1
Argument 2"
dagstuhl-226	1,3	"Argument 1: 0
Argument 2"	"0
1"	"0
1"	"0
2"	"0
1"	"0
1"	"0
2"	"0
1"	"0
1"	"0
2"
dagstuhl-226	2,3	"1 (Argument 1)
2 (Argument"	"0
2"	"0
1"	"0
1"	0	0	0	"0
2"	"0
1"	"0
2"
dagstuhl-227	0,1	0	"Argument 1:
1
Argument 2:"	"Argument 1: 2
Argument 2"	"0
1"	"0
1"	"Argument 1:
0
Argument 2:"	"1. 1
2. 0"	"Argument 1:
2

Argument 2:"	"Argument 1: 2
Argument 2"	"0
2"
dagstuhl-227	0,2	0	"Argument 1: 2
Argument 2"	0	0	"1. 2
2. 0"	0	"1. 0
2. 2"	0	"0
1"	"Argument 1: 0
Argument 2"
dagstuhl-227	1,3	"Argument 1: 2
Argument 2"	"0
1"	0	"Argument 1: 0
Argument 2"	"Argument 1: 0
Argument 2"	"Argument 1: 0
Argument 2"	"Argument 1: 2
Argument 2"	"Argument 1:
0
Argument 2:"	"Argument 1: 2
Argument 2"	"Argument 1:
0
Argument 2:"
dagstuhl-227	2,3	0	"0
1"	"Argument 1: 2
Argument 2"	"0
1"	"0
1"	0	"Argument 1: 2
Argument 2"	"0
1"	"0
1"	0
dagstuhl-23	0,2	"0
2"	"0
1"	0	"0
2"	0	"0
2"	"1 (Argument 1)
2 (Argument"	0	"0
2"	"0
2"
dagstuhl-23	1,0	"0
2"	"0
1"	"1. 1
2. 0"	"0
2"	"0
1"	"0
2"	"0
2"	"0
1"	"1 (1)
2 (1)"	0
dagstuhl-23	1,3	"0
1"	"0
1"	"1. 0
2. 1"	"0
1"	"0
1"	"0
1"	"0
2"	"0
1"	"0
1"	"0
1"
dagstuhl-23	2,3	"1. 1
2. 0"	"0
1"	0	"0
1"	"0
1
2"	0	"0
1"	"0
2"	0	0
dagstuhl-230	0,2	"1. 1
2. 0"	"0
2"	"0
2"	0	"1. 2
2. 1"	"0
1"	"0
1
2"	"1. 0
2. 2"	"0
2"	0
dagstuhl-230	1,0	0	"0
2"	0	"0
2"	"Argument 1: 2
Argument 2"	"0
2"	0	"Argument 1: 0
Argument 2"	"1. 2
2. 0"	"0
1"
dagstuhl-230	1,3	"0
1
2"	"0
2"	0	"0
2"	"1. 0
2. 1"	"0
1"	0	"0
1"	"1. 0
2. 1"	"0
1"
dagstuhl-230	2,3	"0
1"	"0
1"	"0
1"	"0
1"	0	"Argument 1: 0
Argument 2"	"0
1"	0	"0
1"	"Argument 1: 0
Argument 2"
dagstuhl-231	0,2	"0
2"	"Argument 1: 1
Argument 2"	"0
1"	"0
1"	"0
2"	"Argument 1: 0
Argument 2"	"1. 0
2. 2"	0	0	0
dagstuhl-231	1,0	"Argument 1: 2
Argument 2"	"Argument 1: 0
Argument 2"	"1
2"	"Argument 1: 1
Argument 2"	"0
2"	"Argument 1: 2
Argument 2"	"Argument 1: 2
Argument 2"	"Argument 1: 1
Argument 2"	"Argument 1: 1
Argument 2"	"0
1"
dagstuhl-231	1,3	"Argument 2
2"	"Argument 1: 2
Argument 2"	"Argument 1: 2
Argument 2"	"Argument 1: 2
Argument 2"	"Argument 1: 2
Argument 2"	"0
1"	"Argument 1: 1
Argument 2"	0	"0
2"	"Argument 1: 0
Argument 2"
dagstuhl-231	2,3	"Argument 1: 2
Argument 2"	0	0	0	"0
2"	"0
1"	"1. 0
2. 1"	"0
1"	"1. 1
2. 0"	0
dagstuhl-24	0,2	"0
2"	0	"0
2"	"0
1"	"1. 2
2. 0"	"0
2"	"0
2"	"0
2"	"0
2"	"0
2"
dagstuhl-24	1,0	0	0	"0
1"	"0
1"	"1
2"	"0
1"	"0
1"	"0
1"	"0
1"	"0
1"
dagstuhl-24	1,3	"0
2"	"0
2"	0	"0
1"	"0
1"	0	0	0	0	"0
1"
dagstuhl-24	2,3	0	"0
1"	"0
2"	0	0	"0
1"	0	"0
1"	0	"0
2"
dagstuhl-247	0,1	"Argument 1: 1
Argument 2"	"Argument 1:
0
Argument 2"	"Argument 1: 1
Argument 2"	"0
2"	"0
2"	"Argument 1: 0
Argument 2"	"Argument 1: 1
Argument 2"	0	"Argument 1: 1
Argument 2"	"Argument 1:
1
Argument 2"
dagstuhl-247	0,2	"0
1"	"0
1"	0	"0
1"	"0
1"	"0
2"	0	"0
2"	"0
1"	"0
2"
dagstuhl-247	1,3	"0
1"	"0
1"	"1. 0
2. 1"	"Argument 1: 0
Argument 2"	0	0	0	"0
1"	"0
2"	"0
2"
dagstuhl-247	2,3	"0
1"	0	"1. 2
2. 0"	0	0	"0
1"	"1. 0
2. 2"	"0
1"	"0
1
2"	"0
1"
dagstuhl-248	0,1	"0
2"	0	"0
2"	"0
1"	"1. 0
2. 1"	"0
1
2"	"0
2"	"0
1"	"0
2"	0
dagstuhl-248	0,2	0	"0
1"	0	"0
1"	"1. 1
2. 2"	"0
2"	0	"0
2"	0	0
dagstuhl-248	1,3	"0
1"	0	"0
2"	0	"0
1"	"0
1"	0	"0
1"	"0
1"	0
dagstuhl-248	2,3	0	"0
2"	"0
1"	0	0	"0
1
2"	0	"0
1
2"	0	"0
2"
dagstuhl-249	0,1	"1. 0
2. 2"	"0
1"	"0
2"	"0
1"	"0
2"	0	"0
2"	0	0	"0
1
2"
dagstuhl-249	0,2	0	"0
1"	"0
1
2"	0	"0
1
2"	"0
1"	"0
2"	"0
1
2"	"0
2"	0
dagstuhl-249	1,3	0	"0
1"	0	"0
1"	0	"0
2"	0	"0
2"	"1 (Argument 1)
2 (Argument"	0
dagstuhl-249	2,3	"0
1"	"0
1"	"0
1"	"0
2"	"0
2"	"0
2"	"0
1"	0	"0
2"	"0
1"
dagstuhl-25	0,2	"0
1
2"	"0
2"	"0
1"	"0
1"	"0
1"	0	"1 (Argument 1)
2 (Argument"	"0
2"	"1: 2
2: 1"	"Argument 1: 2
Argument 2"
dagstuhl-25	1,0	"1. 1
2. 2"	"0
1"	"0
1"	0	"1. 0
2. 1"	"0
2"	"0
1"	"0
1"	0	"0
1
2"
dagstuhl-25	1,3	"1. 0
2. 1"	"0
1"	0	"0
1"	"1. 1
2. 0"	"0
2"	"0
1"	"0
1"	"0
1"	"0
1"
dagstuhl-25	2,3	"0
2"	"Argument 1: 1
Argument 2"	"0
2"	"0
1"	0	0	0	"0
1"	"0
1"	"0
2"
dagstuhl-250	0,1	"0
1"	"0
2"	"0
1
2"	"Argument 1: 0
Argument 2"	0	0	"0
2"	"0
1"	"0
1"	"0
1
2"
dagstuhl-250	0,2	0	0	0	"0
2"	0	0	"0
1"	"0
2"	"0
2"	"0
2"
dagstuhl-250	1,3	"0
1"	"0
2"	0	"0
1"	"Argument 1: 2
Argument 2"	0	"0
2"	"0
2"	"1. 2
2. 0"	"0
2"
dagstuhl-250	2,3	0	"0
1"	0	"0
2"	"0
2"	0	"0
2"	0	"1. 1
2. 0"	"0
2"
dagstuhl-251	0,2	0	"0
2"	"1: 2
2: 0"	"0
1"	0	"0
1"	0	"0
2"	"0
1"	"0
2"
dagstuhl-251	1,0	"Argument 1: 0
Argument 2"	"Argument 1: 0
Argument 2"	"0
2"	"0
2"	"0
1"	"0
2"	"0
1"	"0
1"	"Argument 2: 2
Argument 1"	"0
1"
dagstuhl-251	1,3	"Argument 1: 1
Argument 2"	"Argument 1:
1
Argument 2"	"Argument 1: 2
Argument 2"	"Argument 1: 1
Argument 2"	"Argument 2
Argument 1"	"Argument 1: 0
Argument 2"	"Argument 2: 2
Argument 1"	"0
1"	"0
1"	"Argument 1: 1
Argument 2"
dagstuhl-251	2,3	"0
2"	"0
2"	"0
1"	"0
1"	"Argument 1: 1
Argument 2"	"0
1"	0	"0
1"	"0
1"	"0
1"
dagstuhl-27	0,2	"0
1"	"0
2"	"1 (Argument 1)
2 (Argument"	"0
1"	0	"Argument 1: 1
Argument 2"	"0
2"	"0
1"	0	"0
1"
dagstuhl-27	1,0	0	0	"0
1"	0	0	"0
1"	"0
1"	"0
2"	"0
2"	"0
1"
dagstuhl-27	1,3	"0
1"	"0
2"	"Argument 1: 1
Argument 2"	"0
1
0"	"Argument 1:
0
Argument 2"	"0
1"	"Argument 1: 1
Argument 2"	"Argument 1: 0
Argument 2"	"0
1"	"0
2"
dagstuhl-27	2,3	0	"0
1"	"1
2"	"0
1"	"0
1"	"0
2"	"0
1"	"0
2"	"1. 1
2. 0"	"0
1"
dagstuhl-28	0,2	"1. 0
2. 1"	"0
2"	"0
1"	0	"0
2"	"0
1"	0	"0
2"	"1. 0
2. 1"	"0
2"
dagstuhl-28	1,0	0	"0
2"	"0
1"	"0
2"	"0
1"	"Argument 1: 2
Argument 2"	"Argument 1: 1
Argument 2"	"0
1"	"Argument 1:
0
Argument 2"	0
dagstuhl-28	1,3	"1. 0
2. 1"	"0
1"	"Argument 1: 2
Argument 2"	"0
1"	"1 (Argument 1)
2 (Argument"	"0
1"	"0
2"	"0
1"	"1. 0
2. 1"	"Argument 1: 0
Argument 2"
dagstuhl-28	2,3	"1. 0
2. 2"	"0
1"	"0
1"	"0
2"	"0
1"	0	"0
2"	"0
2"	"1 (1)
2 (0)"	0
dagstuhl-40	0,2	0	0	0	"0
2"	0	"0
2"	0	0	0	0
dagstuhl-40	1,0	0	0	"1
2"	0	0	"0
1"	0	"0
2"	0	0
dagstuhl-40	1,3	0	"Argument 1:
0
Argument 2"	"1. 2
2. 0"	0	"Argument 1: 2
Argument 2"	"0
1"	"0
2"	"Argument 1: 2
Argument 2"	"Argument 1: 2
Argument 2"	"Argument 1: 2
Argument 2"
dagstuhl-40	2,3	"0
1"	"0
2"	0	"0
2"	"1. 1
2. 0"	"0
2"	0	"Argument 1: 1
Argument 2"	"0
1"	"0
1"
dagstuhl-43	0,2	0	"0
1"	0	"0
1"	0	"0
1"	0	"0
2"	"0
2"	"0
1"
dagstuhl-43	1,0	"1. 0
2. 2"	"0
2"	"1. 0
2. 1"	"0
1"	0	"0
1"	0	"0
1"	0	"0
1
2"
dagstuhl-43	1,3	0	0	0	0	"0
2"	"0
1"	"0
1"	"0
1"	0	"0
2"
